--- Page 1 (index 0) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y=199.8 X=346.9-358.2 'list'
Y=199.8 X=360.7-368.6 'of'
Y=199.8 X=371.1-411.4 'incentives'
Y=199.8 X=413.9-449.1 'available'
Y=199.8 X=451.6-459.6 'to'
Y=199.8 X=462.1-504.4 'customers'
Y=199.8 X=506.9-536.6 'outside'
Y=199.8 X=539.1-546.9 'of'
Y=209.8 X=43.3-81.3 'Rockland'
Y=209.8 X=83.8-113.7 'Electric'
Y=209.8 X=116.2-161.5 'Company’s'
Y=209.8 X=164.0-192.5 'service'
Y=209.8 X=195.0-228.0 'territory.'
Y=235.0 X=213.2-262.9 'Customer'
Y=235.0 X=266.0-285.1 'and'
Y=235.0 X=288.2-316.5 'Trade'
Y=235.0 X=319.6-337.9 'Ally'
Y=235.0 X=341.0-399.0 'Information'
Y=255.0 X=133.3-141.3 ''
Y=255.0 X=206.3-214.4 ''
Y=255.0 X=317.7-325.7 ''
Y=255.0 X=381.1-389.1 ''
Y=257.4 X=43.3-63.2 'Type'
Y=257.4 X=65.7-74.2 'of'
Y=257.4 X=76.7-124.3 'Residence:'
Y=257.4 X=143.8-168.7 'Single'
Y=257.4 X=171.2-197.3 'Family'
Y=257.4 X=216.9-266.2 'Multi-Family'
Y=257.4 X=268.7-284.6 '(2-4'
Y=257.4 X=287.1-308.7 'units)'
Y=257.4 X=328.2-372.1 'Townhome'
Y=257.4 X=391.6-418.8 'Mobile'
Y=257.4 X=421.3-445.5 'Home'
Y=268.8 X=339.0-347.0 ''
Y=268.8 X=372.7-380.7 ''
Y=271.2 X=43.3-65.3 'Third'
Y=271.2 X=67.8-90.3 'Party'
Y=271.2 X=92.8-134.7 'Financing'
Y=271.2 X=137.2-184.0 'Participant'
Y=271.2 X=186.5-233.0 '(confirmed'
Y=271.2 X=235.5-286.6 'preapproval'
Y=271.2 X=289.1-330.0 'required):'
Y=271.2 X=349.5-363.7 'Yes'
Y=271.2 X=383.2-394.8 'No'
Y=292.7 X=43.3-92.3 'Homeowner'
Y=292.7 X=94.8-121.2 'Name:'
Y=292.7 X=313.3-356.5 'Contractor'
Y=292.7 X=359.0-398.0 'Company'
Y=292.7 X=400.5-426.9 'Name:'
Y=306.5 X=43.3-92.3 'Homeowner'
Y=306.5 X=94.8-119.3 'Email:'
Y=306.5 X=313.3-356.5 'Contractor'
Y=306.5 X=359.0-383.5 'Email:'
Y=320.3 X=43.3-92.3 'Homeowner'
Y=320.3 X=94.8-120.7 'Phone'
Y=320.3 X=123.2-130.7 '#:'
Y=320.3 X=313.3-356.5 'Contractor'
Y=320.3 X=359.0-384.8 'Phone'
Y=320.3 X=387.3-394.8 '#:'
Y=334.1 X=43.3-86.7 'Installation'
Y=334.1 X=89.2-124.8 'Address:'
Y=334.1 X=313.3-356.5 'Contractor'
Y=334.1 X=359.0-391.0 'Contact'
Y=334.1 X=393.5-419.8 'Name:'
Y=347.9 X=43.3-61.7 'City:'
Y=347.9 X=189.8-213.5 'State:'
Y=347.9 X=237.8-254.0 'ZIP:'
Y=347.9 X=313.3-324.5 'NJ'
Y=347.9 X=327.0-350.9 'HVAC'
Y=347.9 X=353.4-384.4 'License'
Y=347.9 X=386.9-394.4 '#:'
Y=361.6 X=43.3-74.8 'County:'
Y=361.6 X=313.3-363.8 'Participating'
Y=361.6 X=366.3-408.3 'Distributor'
Y=361.6 X=410.8-437.2 'Name:'
Y=375.4 X=43.3-48.3 '#'
Y=375.4 X=50.8-58.7 'of'
Y=375.4 X=61.2-104.0 'Individuals'
Y=375.4 X=106.5-113.5 'in'
Y=375.4 X=116.0-162.0 'Household:'
Y=389.2 X=43.3-61.3 'This'
Y=389.2 X=63.8-71.0 'is'
Y=389.2 X=73.5-113.2 'voluntary'
Y=389.2 X=115.7-167.5 'information.'
Y=399.2 X=43.3-49.1 'It'
Y=399.2 X=51.7-58.8 'is'
Y=399.2 X=61.3-100.9 'compiled'
Y=399.2 X=103.4-115.4 'for'
Y=399.2 X=117.9-159.6 'statistical'
Y=399.2 X=162.1-202.2 'purposes'
Y=399.2 X=204.7-225.1 'only:'
Y=410.6 X=43.3-51.3 ''
