--- Page 2 (index 1) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y= 428.3 X= 331.2-393.8 W= 62.6 [line]
Y= 428.3 X= 393.8-461.6 W= 67.8 [line]
Y= 443.9 X= 172.0-219.6 W= 47.6 [line]
Y= 443.9 X= 219.6-281.5 W= 61.9 [line]
Y= 443.9 X= 281.5-331.2 W= 49.7 [line]
Y= 443.9 X= 331.2-393.8 W= 62.6 [line]
Y= 443.9 X= 393.8-461.6 W= 67.8 [line]
Y= 459.5 X=  36.0-172.1 W=136.1 [line]
Y= 459.5 X= 172.1-219.6 W= 47.5 [line]
Y= 459.5 X= 219.6-281.5 W= 61.9 [line]
Y= 459.5 X= 281.5-331.2 W= 49.7 [line]
Y= 459.5 X= 331.2-393.8 W= 62.6 [line]
Y= 459.5 X= 393.8-461.5 W= 67.7 [line]
Y= 459.5 X= 461.5-524.2 W= 62.6 [line]
Y= 459.5 X= 524.2-576.0 W= 51.8 [line]
Y= 475.2 X= 172.0-219.6 W= 47.6 [line]
Y= 475.2 X= 219.6-281.5 W= 61.9 [line]
Y= 475.2 X= 281.5-331.2 W= 49.7 [line]
Y= 475.2 X= 331.2-393.8 W= 62.6 [line]
Y= 475.2 X= 393.8-461.6 W= 67.8 [line]
Y= 490.8 X= 172.0-219.6 W= 47.6 [line]
Y= 490.8 X= 219.6-281.5 W= 61.9 [line]
Y= 490.8 X= 281.5-331.2 W= 49.7 [line]
Y= 490.8 X= 331.2-393.8 W= 62.6 [line]
Y= 490.8 X= 393.8-461.6 W= 67.8 [line]
Y= 506.4 X=  36.0-172.1 W=136.1 [line]
Y= 506.4 X= 172.1-219.6 W= 47.5 [line]
Y= 506.4 X= 219.6-281.5 W= 61.9 [line]
Y= 506.4 X= 281.5-331.2 W= 49.7 [line]
Y= 506.4 X= 331.2-393.8 W= 62.6 [line]
Y= 506.4 X= 393.8-461.5 W= 67.7 [line]
Y= 506.4 X= 461.5-524.2 W= 62.6 [line]
Y= 506.4 X= 524.2-576.0 W= 51.8 [line]
Y= 522.0 X= 172.0-219.6 W= 47.6 [line]
Y= 522.0 X= 219.6-281.5 W= 61.9 [line]
Y= 522.0 X= 281.5-331.2 W= 49.7 [line]
Y= 522.0 X= 331.2-393.8 W= 62.6 [line]
Y= 522.0 X= 393.8-461.6 W= 67.8 [line]
Y= 537.6 X= 172.0-219.6 W= 47.6 [line]
Y= 537.6 X= 219.6-281.5 W= 61.9 [line]
Y= 537.6 X= 281.5-331.2 W= 49.7 [line]
Y= 537.6 X= 331.2-393.8 W= 62.6 [line]
Y= 537.6 X= 393.8-461.6 W= 67.8 [line]
Y= 553.2 X=  36.0-172.1 W=136.1 [line]
Y= 553.2 X= 172.1-219.6 W= 47.5 [line]
Y= 553.2 X= 219.6-281.5 W= 61.9 [line]
Y= 553.2 X= 281.5-331.2 W= 49.7 [line]
Y= 553.2 X= 331.2-393.8 W= 62.6 [line]
Y= 553.2 X= 393.8-461.5 W= 67.7 [line]
Y= 553.2 X= 461.5-524.2 W= 62.6 [line]
Y= 553.2 X= 524.2-576.0 W= 51.8 [line]
Y= 568.9 X= 172.0-219.6 W= 47.6 [line]
Y= 568.9 X= 219.6-281.5 W= 61.9 [line]
Y= 568.9 X= 281.5-331.2 W= 49.7 [line]
Y= 568.9 X= 331.2-393.8 W= 62.6 [line]
Y= 568.9 X= 393.8-461.6 W= 67.8 [line]
Y= 584.5 X=  36.0-172.1 W=136.1 [line]
Y= 584.5 X= 172.1-219.6 W= 47.5 [line]
Y= 584.5 X= 219.6-281.5 W= 61.9 [line]
Y= 584.5 X= 281.5-331.2 W= 49.7 [line]
Y= 584.5 X= 331.2-393.8 W= 62.6 [line]
Y= 584.5 X= 393.8-461.5 W= 67.7 [line]
Y= 584.5 X= 461.5-524.2 W= 62.6 [line]
Y= 584.5 X= 524.2-576.0 W= 51.8 [line]
Y= 600.1 X= 172.0-219.6 W= 47.6 [line]
Y= 600.1 X= 219.6-281.5 W= 61.9 [line]
Y= 600.1 X= 281.5-331.2 W= 49.7 [line]
Y= 600.1 X= 331.2-393.8 W= 62.6 [line]
Y= 600.1 X= 393.8-461.6 W= 67.8 [line]
Y= 615.7 X=  36.0-172.1 W=136.1 [line]
Y= 615.7 X= 172.1-219.6 W= 47.5 [line]
Y= 615.7 X= 219.6-281.5 W= 61.9 [line]
Y= 615.7 X= 281.5-331.2 W= 49.7 [line]
Y= 615.7 X= 331.2-393.8 W= 62.6 [line]
Y= 615.7 X= 393.8-461.5 W= 67.7 [line]
Y= 615.7 X= 461.5-524.2 W= 62.6 [line]
Y= 615.7 X= 524.2-576.0 W= 51.8 [line]
Y= 631.3 X= 172.0-219.6 W= 47.6 [line]
Y= 631.3 X= 219.6-281.5 W= 61.9 [line]
Y= 631.3 X= 281.5-331.2 W= 49.7 [line]
Y= 631.3 X= 331.2-393.8 W= 62.6 [line]
Y= 631.3 X= 393.8-461.6 W= 67.8 [line]
Y= 641.7 X= 117.3-168.1 W= 50.7 [line]
Y= 646.9 X=  36.0-172.1 W=136.1 [line]
Y= 646.9 X= 172.1-219.6 W= 47.5 [line]
Y= 646.9 X= 219.6-281.5 W= 61.9 [line]
Y= 646.9 X= 281.5-331.2 W= 49.7 [line]
Y= 646.9 X= 331.2-393.8 W= 62.6 [line]
Y= 646.9 X= 393.8-461.5 W= 67.7 [line]
Y= 646.9 X= 461.5-524.2 W= 62.6 [line]
Y= 646.9 X= 524.2-576.0 W= 51.8 [line]
Y= 656.9 X=  36.0-576.2 W=540.2 [line]
Y= 672.8 X=  36.0-576.2 W=540.2 [line]
Y= 686.6 X= 361.0-415.0 W= 54.0 [line]
Y= 700.4 X= 369.3-423.3 W= 54.0 [line]
Y= 714.1 X= 143.5-197.5 W= 54.0 [line]
Y= 718.9 X=  36.0-576.2 W=540.2 [line]

--- All Words ---
Y=  62.8 X=  36.0- 91.5 'RECO'
Y=  62.8 X=  98.4-156.7 'HVAC'
Y=  62.8 X= 163.6-234.8 'Instant'
Y=  62.8 X= 241.6-314.1 'Rebate'
Y=  62.8 X= 321.0-412.2 'Program'
Y=  95.0 X=  36.0- 98.3 'Incentive'
Y=  95.0 X= 102.8-141.4 'Claim'
Y=  95.0 X= 145.8-180.9 'Form'
Y=  96.8 X= 185.3-240.7 '(12/31/23'
Y=  96.8 X= 244.3-250.8 '–'
Y=  96.8 X= 254.4-302.6 '6/30/24)'
Y= 147.4 X= 185.8-215.1 'HVAC'
Y= 147.4 X= 218.2-237.3 'and'
Y= 147.4 X= 240.4-270.1 'Water'
Y= 147.4 X= 273.2-307.0 'Heater'
Y= 147.4 X= 310.1-365.1 'Equipment'
Y= 147.4 X= 368.1-426.2 'Information'
Y= 163.5 X= 475.3-510.3 'Rockland'
Y= 172.5 X= 479.0-506.7 'Electric'
Y= 176.9 X=  77.9-101.7 'STAR®'
Y= 177.0 X=  42.9- 75.6 'ENERGY'
Y= 177.0 X= 104.0-125.3 'HVAC'
Y= 177.0 X= 127.5-141.5 'and'
Y= 177.0 X= 143.7-165.3 'Water'
Y= 177.0 X= 541.2-558.8 'Total'
Y= 177.0 X= 335.8-366.3 'Outdoor'
Y= 177.0 X= 368.5-389.3 'Serial'
Y= 177.0 X= 404.2-428.2 'Indoor'
Y= 177.0 X= 430.4-451.2 'Serial'
Y= 181.5 X= 186.4-205.3 'AHRI'
Y= 181.5 X= 225.9-275.2 'Manufacturer'
Y= 181.5 X= 294.8-317.9 'Model'
Y= 181.5 X= 475.0-510.6 'Company'
Y= 186.0 X=  55.7- 84.3 'Heating'
Y= 186.0 X=  86.5-114.3 'Electric'
Y= 186.0 X= 116.5-152.5 'Measures'
Y= 186.0 X= 536.7-563.3 'Rebate'
Y= 186.0 X= 347.8-377.3 'Number'
Y= 186.0 X= 412.9-442.4 'Number'
Y= 190.5 X= 465.8-491.1 'Instant'
Y= 190.5 X= 493.3-519.9 'Rebate'
Y= 199.5 X= 476.5-490.9 '(per'
Y= 199.5 X= 493.1-509.1 'unit)'
Y= 222.8 X=  41.9- 67.6 'Central'
Y= 222.8 X=  69.9- 79.5 'Air'
Y= 222.8 X=  81.7-123.3 'Conditioner'
Y= 222.8 X= 125.6-129.6 '–'
Y= 222.8 X= 131.8-145.1 'Tier'
Y= 222.8 X= 147.3-151.8 '1'
Y= 232.8 X=  41.9- 64.4 '(SEER'
Y= 232.8 X=  66.6- 71.4 '≥'
Y= 232.8 X=  73.6- 84.7 '16,'
Y= 232.8 X=  87.0-102.2 'EER'
Y= 232.8 X= 104.5-109.3 '≥'
Y= 232.8 X= 111.5-129.3 '12.5;'
Y= 232.8 X= 483.9-501.7 '$180'
Y= 232.9 X= 528.1-532.6 '$'
Y= 242.8 X=  41.9- 66.8 'SEER2'
Y= 242.8 X=  69.0- 73.8 '≥'
Y= 242.8 X=  76.0- 93.8 '15.2,'
Y= 242.8 X=  96.0-115.7 'EER2'
Y= 242.8 X= 117.9-122.7 '≥'
Y= 242.8 X= 125.0-142.6 '11.5)'
Y= 269.6 X=  41.9- 67.6 'Central'
Y= 269.6 X=  69.9- 79.5 'Air'
Y= 269.6 X=  81.7-123.3 'Conditioner'
Y= 269.6 X= 125.6-129.6 '–'
Y= 269.6 X= 131.8-145.1 'Tier'
Y= 269.6 X= 147.3-151.8 '2'
Y= 279.6 X=  41.9- 64.4 '(SEER'
Y= 279.6 X=  66.6- 71.4 '≥'
Y= 279.6 X=  73.6- 84.7 '18,'
Y= 279.6 X=  87.0-102.2 'EER'
Y= 279.6 X= 104.5-109.3 '≥'
Y= 279.6 X= 111.5-122.6 '13;'
Y= 279.6 X= 483.9-501.7 '$270'
Y= 279.7 X= 528.1-532.6 '$'
Y= 289.6 X=  41.9- 66.8 'SEER2'
